Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,1.22.xml,1.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,28.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,206.0,0.0,0.0,0.0,1.0
2016,10.33.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,53.0,2.0,9.0,1.0,1.0,8.0,1.0,10.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,1.0,629.0,1.0,7.0,1.0,10.0
2016,10.34.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,48.0,2.0,8.0,1.0,1.0,8.0,1.0,10.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,1.0,629.0,1.0,7.0,1.0,10.0
2016,1034.8.xml,1.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,23.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,275.0,1.0,3.0,1.0,4.0
2016,1036.6.xml,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,18.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,202.0,1.0,2.0,1.0,3.0
2016,1037.5.xml,1.0,1.0,33.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,46.0,2.0,9.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,428.0,1.0,1.0,1.0,2.0
2016,1038.5.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,28.0,3.0,7.0,1.0,1.0,0.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,396.0,0.0,0.0,0.0,7.0
2016,1038.6.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,28.0,3.0,7.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,399.0,0.0,0.0,0.0,7.0
2016,1039.5.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,281.0,0.0,0.0,0.0,7.0
2016,1039.6.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,289.0,0.0,0.0,0.0,7.0
2016,1039.7.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,290.0,0.0,0.0,0.0,7.0
2016,1041.2.xml,1.0,0.0,11.0,1.0,4.0,4.0,0.0,4.0,3.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,44.0,2.0,8.0,0.0,1.0,0.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,2.0,1.0,365.0,0.0,0.0,0.0,7.0
2016,12.16.xml,1.0,1.0,18.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,35.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,273.0,0.0,0.0,0.0,2.0
2016,13.16.xml,1.0,1.0,40.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,43.0,3.0,7.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,1.0,355.0,1.0,5.0,1.0,6.0
2016,15.12.xml,1.0,0.0,9.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,21.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,235.0,0.0,0.0,0.0,1.0
2016,16.12.xml,1.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,27.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,208.0,0.0,0.0,0.0,1.0
2016,17.16.xml,1.0,0.0,17.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,0.0,27.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,309.0,0.0,0.0,0.0,1.0
2016,18.14.xml,1.0,0.0,21.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,19.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,295.0,1.0,2.0,1.0,3.0
2016,2001.5.xml,1.0,0.0,48.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,36.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1542.0,0.0,0.0,0.0,1.0
2016,21.17.xml,1.0,1.0,26.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,36.0,3.0,7.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,285.0,1.0,3.0,1.0,4.0
2016,30.30.xml,1.0,0.0,123.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1015.0,0.0,0.0,0.0,1.0
2016,30.31.xml,1.0,0.0,122.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1006.0,0.0,0.0,0.0,1.0
2016,31.34.xml,1.0,0.0,84.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1018.0,0.0,0.0,0.0,1.0
2016,31.35.xml,1.0,0.0,84.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1018.0,0.0,0.0,0.0,1.0
2016,32.30.xml,1.0,0.0,85.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1010.0,0.0,0.0,0.0,1.0
2016,32.31.xml,1.0,0.0,85.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,19.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1010.0,0.0,0.0,0.0,1.0
2016,33.25.xml,1.0,0.0,34.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,20.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,496.0,0.0,0.0,0.0,1.0
2016,4003.3.xml,1.0,2.0,35.0,2.0,2.0,2.0,2.0,2.0,1.0,15.0,3.0,3.0,2.0,15.0,1.0,2.0,2.0,0.0,25.0,3.0,5.0,1.0,1.0,0.0,1.0,15.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,15.0,15.0,1.0,0.0,1.0,1.0,495.0,0.0,0.0,0.0,15.0
2016,4004.14.xml,1.0,0.0,26.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,23.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,344.0,0.0,0.0,0.0,1.0
2016,4005.8.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,435.0,0.0,0.0,0.0,2.0
2016,5001.10.xml,1.0,0.0,24.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,22.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,308.0,0.0,0.0,0.0,2.0
2016,5003.6.xml,1.0,4.0,24.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,4.0,0.0,28.0,2.0,4.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,430.0,3.0,3.0,1.0,4.0
2016,5004.6.xml,1.0,3.0,24.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,28.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,387.0,2.0,2.0,1.0,3.0
2016,5005.5.xml,1.0,3.0,24.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,25.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,378.0,0.0,0.0,0.0,1.0
2016,5009.2.xml,1.0,0.0,81.0,9.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0,25.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,500.0,0.0,0.0,0.0,1.0
2016,5011.2.xml,1.0,0.0,27.0,6.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,25.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,428.0,0.0,0.0,0.0,1.0
2016,5018.10.xml,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,166.0,0.0,0.0,0.0,3.0
2016,5020.10.xml,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,152.0,0.0,0.0,0.0,3.0
2016,6.51.xml,1.0,1.0,37.0,3.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,7.0,1.0,3.0,3.0,0.0,43.0,2.0,7.0,1.0,1.0,11.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,590.0,0.0,0.0,0.0,7.0
2016,6.52.xml,1.0,1.0,37.0,3.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,7.0,1.0,3.0,3.0,0.0,43.0,2.0,8.0,1.0,1.0,11.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,586.0,0.0,0.0,0.0,7.0
2016,6.53.xml,1.0,1.0,37.0,3.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,7.0,1.0,3.0,3.0,0.0,43.0,2.0,8.0,1.0,1.0,11.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,586.0,0.0,0.0,0.0,7.0
2016,6.54.xml,1.0,1.0,37.0,3.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,7.0,1.0,3.0,3.0,0.0,43.0,2.0,8.0,1.0,1.0,11.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,586.0,0.0,0.0,0.0,7.0
2016,6002.5.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,205.0,0.0,0.0,0.0,1.0
2016,6003.3.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,187.0,0.0,0.0,0.0,2.0
2016,6004.3.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,174.0,0.0,0.0,0.0,1.0
2016,7.29.xml,1.0,1.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,320.0,0.0,0.0,0.0,7.0
2016,7003.3.xml,1.0,0.0,10.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,38.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,286.0,0.0,0.0,0.0,3.0
2016,9.41.xml,1.0,0.0,67.0,6.0,3.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,0.0,34.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,498.0,0.0,0.0,0.0,1.0
